0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,19
1/1/2014,ANTIOQUIA,ANORÍ,Miércoles,9:00:00,EL ZAFIRO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5040000,,1
1/1/2014,ANTIOQUIA,BARBOSA,Miércoles,4:00:00,30 DE MAYO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,41,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5079000,,1
1/1/2014,ANTIOQUIA,BELLO,Miércoles,15:15:00,MARUCHENGA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5088000,,1
1/1/2014,ANTIOQUIA,BELLO,Miércoles,9:01:00,LAS GRANJAS,URBANA,VIAS PUBLICAS,CONTUNDENTES,-,A PIE,37,MASCULINO,UNION LIBRE,-,DESEMPLEADO,-,SECUNDARIA,5088000,,1
1/1/2014,ANTIOQUIA,BURITICÁ,Miércoles,7:00:00,LOS MANGOS,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,51,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5113000,,1
1/1/2014,ANTIOQUIA,CALDAS,Miércoles,20:25:00,CENTRO,URBANA,LOCAL COMERCIAL,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,29,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5129000,,1
1/1/2014,ANTIOQUIA,MEDELLÍN (CT),Miércoles,11:30:00,SAN ISIDRO  C-4,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,-,A PIE,29,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,,1
1/1/2014,ANTIOQUIA,MEDELLÍN (CT),Miércoles,12:30:00,CASTILLA C-5,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5001000,,1
1/1/2014,ANTIOQUIA,MEDELLÍN (CT),Miércoles,9:40:00,LAS INDEPENDENCIAS C-13,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,,1
1/1/2014,ANTIOQUIA,MEDELLÍN (CT),Miércoles,6:10:00,KENNEDY C-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5001000,,1
1/1/2014,ANTIOQUIA,MEDELLÍN (CT),Miércoles,6:25:00,LA PRADERA C-13,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,5001000,,1
1/1/2014,ANTIOQUIA,MEDELLÍN (CT),Miércoles,6:11:00,LA PALMA C-16,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,FEMENINO,SOLTERO,-,AMA DE CASA,-,SECUNDARIA,5001000,,1
1/1/2014,ANTIOQUIA,PUERTO BERRÍO,Miércoles,16:42:00,BUENOS AIRES,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,69,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5579000,,1
1/1/2014,ANTIOQUIA,PUERTO TRIUNFO,Miércoles,6:40:00,CALLE PRINCIPAL,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5591000,,1
1/1/2014,ANTIOQUIA,SANTA ROSA DE OSOS,Miércoles,4:30:00,BOQUERON,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5686000,,1
1/1/2014,ANTIOQUIA,SANTA ROSA DE OSOS,Miércoles,1:45:00,PARQUE PRINCIPAL,URBANA,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,5686000,,1
1/1/2014,ANTIOQUIA,TARAZÁ,Miércoles,12:30:00,GUAIMARO,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5790000,,1
1/1/2014,ANTIOQUIA,YOLOMBÓ,Miércoles,1:30:00,VILLANUEVA,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR TAXI,A PIE,17,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5890000,,1
