0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,20
1/1/2013,ANTIOQUIA,ANDES,Martes,9:30:00,QUEBRADA ARRIBA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5034000,,1
1/1/2013,ANTIOQUIA,BETULIA,Martes,1:55:00,-,RURAL,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,ANALFABETA,5093000,,1
1/1/2013,ANTIOQUIA,BURITICÁ,Martes,15:30:00,LA RONDA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,43,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,ANALFABETA,5113000,,1
1/1/2013,ANTIOQUIA,EL BAGRE,Martes,16:00:00,SAN JOSE,URBANA,ESTADERO,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5250000,,1
1/1/2013,ANTIOQUIA,EL BAGRE,Martes,0:05:00,LA FLORESTA,URBANA,BOMBA DE GASOLINA,GRANADA DE MANO,A PIE,A PIE,51,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,5250000,,1
1/1/2013,ANTIOQUIA,LA ESTRELLA,Martes,0:18:00,LA TABLAZA,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5380000,,1
1/1/2013,ANTIOQUIA,MEDELLÍN (CT),Martes,17:30:00,EL SALADO C-13,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,5001000,,1
1/1/2013,ANTIOQUIA,MEDELLÍN (CT),Martes,11:30:00,SAN BERNARDO C-16,URBANA,APARTAMENTO,BOLSA PLASTICA,A PIE,A PIE,67,MASCULINO,DIVORCIADO,COLOMBIA,INDEPENDIENTE,-,SUPERIOR,5001000,,1
1/1/2013,ANTIOQUIA,MEDELLÍN (CT),Martes,3:30:00,SANTA ROSA DE LIMA C-13,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,53,MASCULINO,VIUDO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,,1
1/1/2013,ANTIOQUIA,MEDELLÍN (CT),Martes,19:40:00,KENNEDY C-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,NO REPORTA,-,SECUNDARIA,5001000,,1
1/1/2013,ANTIOQUIA,MEDELLÍN (CT),Martes,0:15:00,CAMPO VALDES 2 C-3,URBANA,DENTRO DE LA VIVIENDA,ARMA DE FUEGO,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,5001000,,1
